time,x,y,z
1.60545E+12,2.377,2.481,8.941
1.60545E+12,2.396,2.462,8.941
1.60545E+12,2.416,2.481,8.979
1.60545E+12,2.454,2.462,8.941
1.60545E+12,2.435,2.462,8.979
1.60545E+12,2.396,2.5,9.036
1.60545E+12,2.396,2.519,9.017
1.60545E+12,2.377,2.519,9.055
1.60545E+12,2.396,2.5,9.055
1.60545E+12,2.358,2.538,9.094
1.60545E+12,2.339,2.538,9.094
1.60545E+12,2.301,2.519,9.075
1.60545E+12,2.224,2.519,9.055
1.60545E+12,2.224,2.519,9.094
1.60545E+12,2.186,2.481,9.094
1.60545E+12,2.147,2.442,9.075
1.60545E+12,2.205,2.385,9.055
1.60545E+12,2.243,2.442,9.017
1.60545E+12,2.282,2.481,8.96
1.60545E+12,2.377,2.5,8.902
1.60545E+12,2.435,2.538,8.979
1.60545E+12,2.435,2.557,8.979
1.60545E+12,2.454,2.481,8.998
1.60545E+12,2.473,2.481,9.055
1.60545E+12,2.435,2.462,9.055
1.60545E+12,2.53,2.404,9.055
1.60545E+12,2.492,2.423,9.036
1.60545E+12,2.492,2.404,8.979
1.60545E+12,2.492,2.385,8.941
1.60545E+12,2.55,2.385,8.941
1.60545E+12,2.55,2.385,8.96
1.60545E+12,2.588,2.347,8.921
1.60545E+12,2.588,2.347,8.979
1.60545E+12,2.607,2.308,8.979
1.60545E+12,2.569,2.366,8.998
1.60545E+12,2.588,2.347,8.979
1.60545E+12,2.55,2.328,8.979
1.60545E+12,2.53,2.328,8.998
1.60545E+12,2.53,2.366,8.96
1.60545E+12,2.473,2.404,8.921
1.60545E+12,2.492,2.385,8.96
1.60545E+12,2.511,2.442,8.979
1.60545E+12,2.473,2.442,9.017
1.60545E+12,2.473,2.442,8.979
1.60545E+12,2.396,2.5,9.017
1.60545E+12,2.377,2.462,9.036
1.60545E+12,2.301,2.481,8.998
1.60545E+12,2.282,2.442,8.941
1.60545E+12,2.243,2.462,8.96
1.60545E+12,2.224,2.442,8.96
1.60545E+12,2.224,2.462,8.998
1.60545E+12,2.205,2.442,9.036
1.60545E+12,2.224,2.442,9.036
1.60545E+12,2.224,2.462,9.017
1.60545E+12,2.262,2.423,9.055
1.60545E+12,2.301,2.404,9.036
1.60545E+12,2.32,2.385,9.055
1.60545E+12,2.339,2.366,9.036
1.60545E+12,2.396,2.404,9.036
1.60545E+12,2.454,2.385,9.075
1.60545E+12,2.492,2.404,9.036
1.60545E+12,2.511,2.404,9.075
1.60545E+12,2.569,2.442,9.094
1.60545E+12,2.55,2.442,9.055
1.60545E+12,2.569,2.404,9.094
1.60545E+12,2.569,2.385,9.055
1.60545E+12,2.588,2.385,9.017
1.60545E+12,2.588,2.404,9.036
1.60545E+12,2.55,2.385,8.979
1.60545E+12,2.55,2.385,8.998
1.60545E+12,2.53,2.385,8.979
1.60545E+12,2.492,2.423,8.979
1.60545E+12,2.473,2.404,8.998
1.60545E+12,2.454,2.404,8.96
1.60545E+12,2.416,2.404,8.96
1.60545E+12,2.416,2.366,8.979
1.60545E+12,2.396,2.385,8.979
1.60545E+12,2.377,2.385,9.017
1.60545E+12,2.377,2.385,9.017
1.60545E+12,2.377,2.347,9.055
1.60545E+12,2.377,2.347,9.055
1.60545E+12,2.377,2.347,9.055
1.60545E+12,2.377,2.347,9.036
1.60545E+12,2.358,2.404,9.055
1.60545E+12,2.377,2.347,9.055
1.60545E+12,2.396,2.366,8.96
1.60545E+12,2.339,2.366,8.96
1.60545E+12,2.377,2.385,8.941
1.60545E+12,2.377,2.366,8.941
1.60545E+12,2.396,2.347,8.941
1.60545E+12,2.416,2.385,9.017
1.60545E+12,2.454,2.404,9.055
1.60545E+12,2.454,2.423,9.055
1.60545E+12,2.473,2.423,9.113
1.60545E+12,2.511,2.423,9.055
1.60545E+12,2.53,2.423,9.075
1.60545E+12,2.511,2.404,9.075
1.60545E+12,2.53,2.404,9.055
1.60545E+12,2.55,2.385,9.036
1.60545E+12,2.55,2.366,9.075
1.60545E+12,2.492,2.385,9.017
1.60545E+12,2.454,2.347,8.998
1.60545E+12,2.416,2.347,8.998
1.60545E+12,2.377,2.328,8.998
1.60545E+12,2.377,2.328,8.998
1.60545E+12,2.377,2.328,9.017
1.60545E+12,2.396,2.347,9.036
1.60545E+12,2.416,2.347,9.075
1.60545E+12,2.416,2.347,9.132
1.60545E+12,2.473,2.347,9.113
1.60545E+12,2.473,2.328,9.094
1.60545E+12,2.473,2.385,9.055
1.60545E+12,2.454,2.385,9.055
1.60545E+12,2.454,2.366,8.998
1.60545E+12,2.435,2.385,8.96
1.60545E+12,2.473,2.385,8.921
1.60545E+12,2.435,2.366,8.941
1.60545E+12,2.454,2.385,8.902
1.60545E+12,2.435,2.366,8.902
1.60545E+12,2.416,2.385,8.941
1.60545E+12,2.435,2.404,8.96
1.60545E+12,2.435,2.404,9.017
1.60545E+12,2.435,2.423,9.036
1.60545E+12,2.435,2.423,9.075
1.60545E+12,2.435,2.423,9.075
1.60545E+12,2.454,2.404,9.075
1.60545E+12,2.473,2.366,9.094
1.60545E+12,2.473,2.385,9.055
1.60545E+12,2.492,2.347,9.017
1.60545E+12,2.473,2.385,8.998
1.60545E+12,2.454,2.328,8.979
1.60545E+12,2.435,2.347,8.979
1.60545E+12,2.435,2.366,8.998
1.60545E+12,2.396,2.366,8.941
1.60545E+12,2.435,2.366,8.979
1.60545E+12,2.396,2.347,8.979
1.60545E+12,2.435,2.385,9.036
1.60545E+12,2.454,2.423,9.017
1.60545E+12,2.454,2.404,9.036
1.60545E+12,2.473,2.404,9.075
1.60545E+12,2.435,2.404,9.036
1.60545E+12,2.454,2.404,8.998
1.60545E+12,2.454,2.385,8.979
1.60545E+12,2.435,2.423,8.979
1.60545E+12,2.435,2.404,8.96
1.60545E+12,2.416,2.385,8.979
1.60545E+12,2.416,2.423,8.998
1.60545E+12,2.396,2.404,8.998
1.60545E+12,2.435,2.385,9.017
1.60545E+12,2.416,2.404,9.036
1.60545E+12,2.473,2.404,8.979
1.60545E+12,2.454,2.385,8.998
1.60545E+12,2.454,2.385,8.979
1.60545E+12,2.454,2.385,8.96
1.60545E+12,2.435,2.385,8.998
1.60545E+12,2.435,2.385,9.017
1.60545E+12,2.435,2.366,9.055
1.60545E+12,2.416,2.366,9.055
1.60545E+12,2.435,2.385,9.075
1.60545E+12,2.416,2.385,9.055
1.60545E+12,2.416,2.404,9.036
1.60545E+12,2.358,2.423,8.998
1.60545E+12,2.377,2.423,9.075
1.60545E+12,2.377,2.404,8.96
1.60545E+12,2.416,2.423,8.979
1.60545E+12,2.435,2.404,8.998
1.60545E+12,2.454,2.404,9.036
1.60545E+12,2.473,2.404,9.036
1.60545E+12,2.454,2.404,9.075
1.60545E+12,2.473,2.385,9.036
1.60545E+12,2.435,2.385,9.036
1.60545E+12,2.435,2.385,9.036
1.60545E+12,2.416,2.385,8.998
1.60545E+12,2.416,2.404,9.017
1.60545E+12,2.416,2.385,8.96
1.60545E+12,2.396,2.366,8.979
1.60545E+12,2.396,2.366,8.96
1.60545E+12,2.435,2.366,8.998
1.60545E+12,2.454,2.385,8.979
1.60545E+12,2.454,2.385,9.017
1.60545E+12,2.454,2.385,9.036
1.60545E+12,2.492,2.404,8.998
1.60545E+12,2.473,2.385,9.036
1.60545E+12,2.473,2.404,9.017
1.60545E+12,2.492,2.423,9.036
1.60545E+12,2.435,2.442,8.998
1.60545E+12,2.473,2.404,9.017
1.60545E+12,2.454,2.442,8.979
1.60545E+12,2.416,2.423,8.998
1.60545E+12,2.396,2.423,8.979
1.60545E+12,2.377,2.423,8.979
1.60545E+12,2.435,2.404,8.998
1.60545E+12,2.435,2.423,8.998
1.60545E+12,2.435,2.423,8.998
1.60545E+12,2.435,2.404,9.055
1.60545E+12,2.435,2.423,8.998
1.60545E+12,2.454,2.423,9.017
1.60545E+12,2.492,2.404,9.036
1.60545E+12,2.473,2.385,8.998
1.60545E+12,2.492,2.385,8.979
